Ort,Datum,Breitengrad,Längengrad,Bericht_Link,Mindestangabe Teilnehmerzahl,Höchstangabe Teilnehmerzahl
Bad Tölz,21.01.2024,47.7610641,11.5582933,https://www.merkur.de/lokales/bad-toelz/bad-toelz-ort28297/demonstration-gegen-rechts-in-bad-toelz-rund-1000-teilnehmer-92787811.html,1500.0,2000.0
Baden-Baden,21.01.2024,48.7610716,8.239959,https://www.landtag-bw.de/home/aktuelles/dpa-nachrichten/2024/Januar/KW3/Sonntag/db6dc12c-4f47-4121-ae31-ccb20cbd.html,2000.0,
Beeskow,21.01.2024,52.1721569,14.2471058,https://www.rbb24.de/politik/beitrag/2024/01/berlin-brandenburg-cottbus-demos-gegen-rechts-sonntag.html,200.0,
Berlin,21.01.2024,52.5201616,13.3691247,https://taz.de/Anti-AfD-Demo-in-Berlin/!5986847/,100000.0,350000.0
Bonn,21.01.2024,50.735851,7.10066,https://www1.wdr.de/nachrichten/demos-rechtsextremismus-sonntag-nrw-100.html,30000.0,
Bremen,21.01.2024,53.0758196,8.8071646,https://www.butenunbinnen.de/nachrichten/demonstration-gegen-rechts-bremen-100.html,50000.0,70000.0
Chemnitz,21.01.2024,50.8323531,12.918914,https://www.freiepresse.de/chemnitz/12-000-menschen-demonstrieren-in-chemnitz-gegen-die-afd-und-fuer-vielfalt-artikel13215531,12000.0,
Coburg,21.01.2024,50.258112,10.964463,"https://www.br.de/nachrichten/bayern/gemeinsam-gegen-rechts-2-000-teilnehmer-bei-demo-in-coburg,U202ccA",4000.0,
Cottbus,21.01.2024,51.7567447,14.3357307,https://www.tagesschau.de/inland/demos-gegen-rechts-bilanz-100.html,3500.0,5000.0
Detmold,21.01.2024,51.936284,8.8791526,https://www1.wdr.de/nachrichten/demos-rechtsextremismus-sonntag-nrw-100.html,2200.0,
Döbeln,21.01.2024,51.1167001,13.1166999,https://www.mdr.de/nachrichten/sachsen/ticker-demo-afd-rechtsextremimus-leipzig-dresden-100.html,350.0,
Dresden,21.01.2024,51.0493286,13.7381437,https://www.mdr.de/nachrichten/sachsen/ticker-demo-afd-rechtsextremimus-leipzig-dresden-100.html,30000.0,40000.0
Euskirchen,21.01.2024,50.6612623,6.7871219,https://www.rundschau-online.de/region/euskirchen-eifel/euskirchen/2000-demonstranten-bekennen-sich-in-euskirchen-zur-demokratie-723335,2000.0,
Flensburg,21.01.2024,54.7833021,9.4333264,"https://www.ndr.de/nachrichten/schleswig-holstein/Flensburg-10000-Menschen-demonstrieren-gegen-Rechtsextremismus,demogegenrechts126.html",10000.0,
Freiburg,21.01.2024,47.9960901,7.8494005,https://www.swr.de/swraktuell/baden-wuerttemberg/viele-proteste-gegen-rechts-und-die-afd-in-bw-100.html#Freib,25000.0,
Fürstenwalde,21.01.2024,52.3671912,14.0584217,https://www.rbb24.de/politik/beitrag/2024/01/berlin-brandenburg-cottbus-demos-gegen-rechts-sonntag.html,500.0,
Görlitz,21.01.2024,51.1563185,14.991018,https://www.mdr.de/nachrichten/sachsen/ticker-demo-afd-rechtsextremimus-leipzig-dresden-100.html,2000.0,
Göttingen,21.01.2024,51.5328328,9.9351811,https://www.hna.de/lokales/goettingen/goettingen-ort28741/mehr-als-15000-teilnehmer-demonstrieren-in-goettingen-gegen-die-afd-92787646.html,12000.0,15000.0
Henstedt-Ulzburg,21.01.2024,53.7926888,9.9808134,"https://www.ndr.de/nachrichten/schleswig-holstein/Demos-gegen-rechts-Ploetzlich-nicht-mehr-allein,henstedtulzburg230.html",1500.0,
Herrenberg,21.01.2024,48.5956244,8.8671496,https://www.krzbb.de/inhalt.protest-in-herrenberg-6000-ziehen-gegen-rechts-durch-die-stadt.854eddaa-575a-45ee-bc16-2e882a4e789d.html,6000.0,
